PC1,PC2,PC3,PC4,PC5,PC6,compressive_strength
-0.2561026201539752,-0.41976093547481236,0.2551878881067697,-0.24430791639031896,-0.075608686555357,0.072282753329971,61.89
-0.3604517568543449,0.13032119467657577,-0.045928541445154306,-0.11144307071492418,0.3779119293326878,0.23913978024427368,47.03
-0.4499683484974764,0.014563421444384592,0.1220521129316445,-0.2913940855862014,0.3246524041519122,-0.10574301101118848,36.45
-0.4265337797744354,0.12079265071516646,-0.044619729999951216,-0.13037377421268986,0.28047792157125173,-0.10734826005035922,45.85
-0.3981731872194029,-0.20862334698371776,0.20863044255262025,-0.27713619492892655,0.3677699309927281,-0.10908031958476261,39.29
-0.25766878588621267,0.11193958853994218,-0.1796859479187473,0.14459062923994953,0.11836577271546356,0.33716972695418435,38.07
-0.3113159306550118,0.09927050858587777,-0.20195775269618954,0.16833826610213987,-0.025792177671411107,-0.007297823206982065,28.02
-0.3721802576049663,0.30183450479550766,-0.11282976116382944,-0.10940374445825411,0.32120549169103435,0.24274409222249155,42.33
-0.4138463570054476,0.018327542360723426,-0.0032647534663061,-0.13059771911483448,0.3080816180682681,-0.11209635585428979,47.81
-0.32075376043979964,-0.12860087450006857,0.060639194919569886,-0.11077566699176694,0.4366967111728369,0.21817802452795385,52.91
-0.2780576256587796,0.22462419329379907,-0.2677936568974026,0.03741553326083302,0.002202585692451447,0.332304713414575,39.36
-0.3862175950311668,0.03723167770807369,0.09947888075010375,-0.2537641406825824,0.4141137611646535,0.225015228017558,40.56
-0.32540181696068965,0.22812289264721086,-0.2961793543745349,0.04075654796129949,-0.1433770297745749,0.02069981358463973,28.24
-0.3358783014880255,0.22286876378533127,-0.2947303616530912,0.03819383935687792,-0.20439520608108447,-0.12452616363398772,8.06
-0.426275159339621,-0.10215693175420328,0.16768941982987612,-0.2858545156343096,0.3496025224030708,-0.10849159414268378,37.43
-0.4077002653587113,-0.21831060776320355,0.2160031811475584,-0.2832053051614295,0.3257871689744228,-0.2261113505496156,38.6
-0.47772450267783123,0.3690651610995641,-0.021236277155493005,-0.2832540152386877,0.2176063950386777,-0.08432901513332314,30.08
-0.40037060289591414,0.14390068023440805,0.0569335427887611,-0.25459037973681437,0.3869807104246967,0.23185947162185053,37.72
