cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength
0.7489454524329041,0.0,0.0,0.25807752928919336,0.08472233624806608,0.5530004212731326,0.17496731367378396,0.16992880013183537,61.89
0.26459621722657917,0.23548631334721612,0.0,0.7066655069831811,0.0,0.26910808550813,0.1530101952442217,0.5285145388361606,47.03
0.49020055650438055,0.21447350322644596,0.0,0.7723303731975492,0.0,0.2941141828165086,0.0,0.17523462249020022,36.45
0.3062694240846586,0.27257478706474314,0.0,0.8179634618846372,0.0,0.31149189972932406,0.17710889773000707,0.18558834849483363,45.85
0.6143132426258039,0.0,0.0,0.7213651481772175,0.0,0.27470591398609157,0.0,0.16367108404020903,39.29
0.16121460227929682,0.28290216509826227,0.0,0.46965199382295797,0.0,0.3769610975078273,0.48210900023340203,0.5466941233929702,38.07
0.18886445361221119,0.33142260118862915,0.0,0.5502018176218858,0.0,0.44161354311152284,0.5647953201712169,0.19429606872470812,28.02
0.13864057392235474,0.3832501316008863,0.0,0.6900519474771748,0.0,0.26278141023113344,0.1494129572885052,0.5160892716425929,42.33
0.3758781945761678,0.18106328328888074,0.0,0.8150230159621856,0.0,0.31037213689257653,0.17647221998041643,0.18492118849562195,47.81
0.43245151408824284,0.0,0.0,0.6813444718368719,0.0,0.25946548200764596,0.14752757794758492,0.5095769579284167,52.91
0.05744086335117021,0.40957253634870594,0.0,0.42991444203434287,0.0,0.4785021450057127,0.40585954989310896,0.500437988368344,39.36
0.42944837906917305,0.18789309210639626,0.0,0.6766129137852439,0.0,0.25766363867984576,0.0,0.5060382296377034,40.56
0.06534925277957991,0.465961993742909,0.0,0.48910454869620223,0.0,0.544381748553793,0.4617378077488623,0.172720423603458,28.24
0.06634078342547893,0.4730319383401128,0.0,0.4965256304753106,0.0,0.5526415398107763,0.46874365964892084,0.012988227758072495,8.06
0.5588941364499915,0.10442228836747525,0.0,0.7520603126423849,0.0,0.28639506091904776,0.0,0.1706355331205411,37.43
0.6222877251551361,0.0,0.0,0.7307292858390071,0.0,0.278271908270087,0.0,0.03684349340364742,38.6
0.23225607767866419,0.5212096435090632,0.0,0.7507613433450547,0.0,0.28590039528547145,0.0,0.17034080899425613,30.08
0.35850119111086626,0.2837628738559999,0.0,0.6812300290957024,0.0,0.2594219006149332,0.0,0.5094913662984665,37.72
0.5463463657536294,0.0,0.0,0.6415541774801332,0.0,0.24431278270319026,0.0,0.4798178302162341,42.23
0.3814164102955519,0.07732016385266449,0.0,0.6960849487893822,0.0,0.2650788613122357,0.1507192481709205,0.5206013482542439,50.46
0.492604057514619,0.09203682699466383,0.0,0.6628589161026209,0.0,0.25242592444605627,0.0,0.495751626328851,41.54
0.5667932098041092,0.10589813014470117,0.0,0.7626894804737321,0.0,0.29044279634319453,0.0,0.03845493178859154,35.08
0.4443810800298417,0.0,0.0,0.5062995338112434,0.0,0.5635200618003883,0.47797068628670836,0.013243895693060982,15.05
