cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,water_cement_ratio,water_binder_ratio,cement_binder_ratio,slag_binder_ratio,fly_ash_binder_ratio,superplasticizer_binder_ratio,aggregate_binder_ratio,water_total_mix_ratio
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,0.2668925277570696,0.2668925277570696,0.9999999999811783,0.0,0.0,0.053077357424184506,3.2859025032319615,0.05794614032913266
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,0.47999999998989473,0.47999999998989473,0.9999999999789474,0.0,0.0,0.0,3.212631578879734,0.10228802153386143
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,0.5795741609318089,0.42883845125690684,0.7399198931711637,0.0,0.26008010680213406,0.03150867823680885,4.938584779574404,0.06701719245507003
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,0.4999999999885321,0.4999999999885321,0.9999999999770642,0.0,0.0,0.0,3.573623853129045,0.09854889019439199
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,1.2200239807422046,0.4880095923144362,0.3999999999904077,0.5999999999856115,0.0,0.0,4.000479616211019,0.08891510464416956
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28,0.40709945633491845,0.27831219938175966,0.6836466987170169,0.3163533012611204,0.0,0.01749016178361412,3.9831657191958207,0.05272094756873718
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,0.5799797091450801,0.43828264757377255,0.7556861742715133,0.0,0.24431382570293092,0.022744697162720557,4.636595962058866,0.0718776194464716
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,0.8464499571921963,0.6026187575943174,0.7119366625848985,0.0,0.28806333738465095,0.014007308160353005,5.4786845308928545,0.08493197716799739
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,0.5800604229432006,0.5800604229432006,0.9999999999697885,0.0,0.0,0.0,5.447129909200993,0.08254514187410772
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,0.630281690118652,0.4068181818089359,0.645454545439876,0.0340909090901343,0.3204545454472624,0.012499999999715908,3.7340909090060435,0.07894156560053389
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,0.405684754511481,0.313373253486759,0.772455089804941,0.039920159679841916,0.18762475049525698,0.02774451097749013,3.5588822354579066,0.0639537252023954
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,0.6666666666471734,0.5999999999842105,0.8999999999763157,0.09999999999736842,0.0,0.0,4.215789473573269,0.10316742081401283
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,0.3741985124294897,0.2520297115174982,0.673518742430929,0.32648125755179686,0.0,0.0380031093446536,2.9374676109356113,0.059616720467210324
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,0.5788567492913617,0.43481634763489874,0.7511639937726031,0.0,0.2488360062015304,0.024314536988507128,4.723745473235289,0.07032590051428554
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,0.5488091244364706,0.4033530571892664,0.7349605522501242,0.0,0.2650394477252209,0.03155818540356119,4.28303747523957,0.07054156605695697
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14,0.8220338982702527,0.8220338982702527,0.9999999999576271,0.0,0.0,0.0,7.851694914921538,0.08497590889143682
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,0.405684754511481,0.313373253486759,0.772455089804941,0.039920159679841916,0.18762475049525698,0.02854291417108697,3.5588822354579066,0.06394330631668659
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,0.9599056603320799,0.5759977356191339,0.600056609097083,0.39994339087461245,0.0,0.0,4.878007359046759,0.08924655731914198
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100,0.588156123802552,0.42150952494763666,0.716662647679849,0.0,0.2833373522960372,0.022908126355849816,4.283337352199582,0.07359070433177456
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,0.6283783783571494,0.6283783783571494,0.9999999999662161,0.0,0.0,0.0,6.280405405193229,0.07945322511713176
